Complaint Catagory,clean
Internet,comcast cable internet speeds
Billing,payment disappear - service got disconnected
Internet,speed and service
Network,comcast imposed a new usage cap of 300gb that punishes streaming
Network,comcast not working and no service to boot
Internet,isp charging for arbitrary data limits with overage fees
Internet,throttling service and unreasonable data caps
Network,comcast refuses to help troubleshoot and correct my service
Outages,comcast extended outages
Billing,comcast raising prices and not being available to ask why
Billing,billing after service was asked to be disconnected
Email,yahoo failure to restore email search feature
Internet,comcast violating open internet rules by blocking hbo go access on sony consoles
Internet,internet speed
Internet,internet disconnects every night
Internet,internet complaint
Internet,internet availability and speed
Internet,comcast owes me 65 and claims i need to return equipment i never had
Internet,horrible internet service
Billing,failure to provide services that i am billed for
Internet,internet out all the time but they have a monopoly
Internet,horrible cable service and customer service
Internet,speed
Other,comcast monopoly bundling practices
Other,comcast
Network,bait and switch
Network,comcast customer service
Billing,apartment management s exclusivity contract with comcast
Internet,unable to reach a comcast agent for internet and billing issues
Internet,wifi internet not working as well
Network,comcast data caps
Internet,comcast internet data cap
Other,xfinity movers edge program
Internet,comcast data internet usage
Other,comcast not refunding my credit
Other,comcast
Network,no service
Other,comcast
Internet,internet billing and servie issues
Network,comcast blocking directv signals
Other,pmts
Internet,slow internet speed
Internet,not getting what i am paying for with internet
Other,comcast bandwidth every evening drops to 10 of what is promised to our business
Internet,isp dishonest about speeds
Billing,deceptive sales- change in billing amount etc
Internet,comcast billing dispute
Other,comcast
Billing,comcast billing and service issues
Internet,cable prices rising
Network,service issues
Other,hbo go on playstation 4
Internet,internet connectivity
Email,email issues
Other,monopoly
Grievance,complaint against xfinitycomcast
Other,comcast credit after cancellation has not been received after more than a year
Grievance,comcast false promises
Other,comcast blocking udp port 443
Other,issues with comcast
Network,comcast refuses to schedule a future service stoppage
Other,comcast
Billing,overbilling
Billing,comcast - failure to provide service refusal to void contract
Network,spotty comcast service
Billing,without service despite willingness to pay
Other,issues with xfinitycomcast
Internet,cable modem rent for internet access
Other,comcastxfinity
Internet,speed issues
Other,at t
Other,fraudulent claims reported to collections agency
Network,comcast using a data cap to take however much money they like
Network,comcast data cap
Internet,speed of service
Network,comcast s monopolistic practices and data capping
Network,comcast data cap trials
Billing,comcast billing problem
Other,comcast needs competition
Billing,comcast servicesbilling issues
Billing,incorrect bill
Network,legality of data caps
Network,data caps
Network,comcast added service after i declined it
Other,comcast misled with overage policy
Internet,cable service and telephone connect not complete
Network,comcast data cap
Network,comcast wo nt cancel my service
Network,data caps
Network,comcast disconnecting service before due date
Network,comcast data cap
Other,comcast
Other,unbelievable treatment
Internet,denial of comcast business phone and internet service to my dental practice
Network,comcast s terrible service - how are they still in business
Billing,they are forcing me for my bank account information by suspending my services for no reason i also feel like they are committing corporate theft
Network,comcast discontinuation of service issue
Network,comcast customer service
Other,comcast
Network,comcast bandwidth data caps in atlanta ga
Internet,comcast wo nt quit charging me for modem rental
Network,comcast download caps
Network,horrible comcast customer service
Network,data cap
Network,bad customer service
Internet,disconnection of service
Billing,comcast data usage charges
Network,comcast refuses service to my address
Billing,comcast will not let me discuss my bill or service with a representative
Billing,comcast billing frauds
Internet,comcast tvinternet hookup
Network,no service for 5 days
Billing,comcast - billing
Internet,comcast internet
Internet,comcast speed integrity
Network,data cap
Network,comcast atlanta data caps
Network,comcast atlanta data caps
Network,comcast poor customer service
Network,overage on 300gb data plan with comcast
Billing,comcast bill
Network,comcast data cap
Billing,unfair billing practices
Network,comcast data caps
Internet,comcast refusing to honor internet rate
Internet,speed
Internet,not acceptable internet additional charge
Internet,comcast internet and cable service
Billing,comcast deceptive advertising overage charges
Network,comcast data caps
Other,comcast xfinity slamming
Billing,comcast support unable to provide accurate information
Network,comcast data usage limits
Internet,repeated erroneous modem rental charge
Billing,xfinity pricing
Other,comcast monopoly
Internet,internet connection both upload and download speeds
Internet,internet availability
Internet,comcast 50 mbs speed and throttling
Grievance,complaint against comcast
Other,comcast
Billing,comcast xfinity monopolistic billing practices
Internet,internet throttling
Network,data usage overage
Billing,double billing after change of service
Network,bandwidth caps becoming excessive
Network,comcast data limits
Other,unable to cancel xfinity home security
Other,comcast trying to setup stuff we did nt order
Network,terrible waiting times
Billing,incorrect prices for new customers
Internet,comcast is throttling my internet
Internet,internet pricing
Billing,misc charges
Network,comast data cap
Internet,comcast throttles internet
Internet,throttling
Internet,forced bundling of internet service with catv
Internet,comcast internet
Network,failure to deliver service
Other,comcast hbo go ps4 app
Network,comcast s refusal to recognize written notice of termination of service
Billing,rates
Billing,termination fee
Internet,comcast internetcable
Internet,i am being charge double for my cable bill
Billing,repeated comcast billing issues
Other,unauthorized comcast username setup
Network,services turned off in retaliation for complaints
Internet,comcast does not disclose the internet speed i m paying for anywhere on my bill or online
Internet,internet speeds disclosure on bill
Internet,internet speed not disclosed
Network,intermittent service
Billing,comcast billing practices
Other,monopoly
Internet,consistently slow and throttled internet speeds
Internet,paying for high speed internet with comcast consistently getting slow service
Billing,comcast monopoly on packages is costing me more money for same service
Internet,hidden fees dropped internet connection
Internet,comcast high speed internet monopoly
Internet,comcast cable in maryland
Internet,billing dispute poor customer service
Billing,comcast change contract
Internet,comcast throttle
Internet,xfinity wifi access
Internet,no internet no cable
Internet,internet service slow and intermittent
Other,comcast account
Internet,week long issues with speed and no help from comcast
Network,data usage cap maine
Other,comcasts shady business practices
Internet,comcast cable
Billing,comcast pricing
Grievance,comcast complaint
Internet,cable
Billing,comcast charges
Other,comcast
Internet,internet needed
Other,deceptive practices
Other,comcast fraud
Internet,complaint cr comcast problem - voip phone not working for days
Other,comcast
Billing,double-billing
Internet,download speeds slower than dial-up but paying for 25 mbps
Billing,comcast billing error
Internet,comcast internet technical support
Other,comcast blocking hbogo on ps4
Internet,residentail broadband data caps
Other,comcast
Billing,monthly charges increased without any notice
Internet,comcast internet for low income families
Internet,comcast internet for low income families
Network,comcast service and customer service representative
Internet,poor internet connectiondropped connection since installation of new modem
Billing,comcast billing
Billing,bank fee refund reques
Billing,comcast unfair charge
Billing,wrongful billing
Billing,billing problem
Internet,service refusal and lower than advertised speeds
Network,comcast - major complaint 1st time customer - aggravated health issues
Network,connecting the service
Billing,over charge by lying
Billing,comcast keeps changing bill and every time gives new reasons
Other,ad in craigslist was a scam for selling product not owned
Internet,comcast internet
Billing,comcast billing after discontinuation of service
Grievance,complaint against comcast
Network,comcast data cap
Other,comcast issues
Billing,comcast charging a fee without disclosing
Billing,increased bill
Billing,incorrect charges and would not fix
Internet,suspected throttling
Internet,constant disruption of internet service
Billing,comcast unfair billing practices
Billing,incorrect billing and service from comcast
Internet,comcast reduced my internet speed
Internet,keep getting charged rental fees for modem i already own
Other,dealing with comcastxfinity
Billing,over billing
Billing,billing
Network,awful service
Other,comcast bad practices
Internet,billing for equipment that was not provided to me
Internet,comcast speed issues
Network,technical support
Internet,failure to supply the proper internet service
Other,comcast disconnected my account without reason or notice
Network,bad servicedrop callsno support
Internet,modem rental fees
Other,comcast - issues galore
Other,monopolistic behavior
Billing,bait and switch pricing
Other,hbo go comcast
Internet,comcast slow internet
Internet,slow internet speeds
Billing,comcast billing pratice
Billing,comcast overbilled me and added numerous hidden charges
Billing,unfair billing practices of comcast
Network,hbo go blocked on amazon fire tv
Network,comcast outagepoor service 61
Other,comcast agreement
Billing,false contract repersentation
Internet,extremely low speeds and no help
Internet,comcast throttling download speed
Internet,broadband interuption
Internet,low internet speed
Billing,incorrect billing
Other,comcast - diversified consultants
Billing,comcast billing for last 18 mos for services they are unable or unwilling to provide
Other,comcast blocks hbo go on ps4
Billing,comcast data usage charges
Billing,comcast bandwidth billing issue
Internet,comcast internet speeds
Internet,comcast slow internet service
Internet,comcast slow internet
Internet,comcast internet freezes up
Other,comcast changed my account plan after i said no about 2-3 times
Network,lack of service from comcast
Other,comcast
Other,comcast
Network,credit for service outage 62315
Billing,unauthorized billing
Billing,billing overcharges
Internet,internetphone
Internet,comcast throttling my internet
Billing,double billing from comcast
Billing,billing over charges
Internet,internet only
Billing,continuing overcharges
Other,home security forgeryfraud
Network,2 day degraded services
Internet,internet bill too high
Billing,over paying for my comcast services
Billing,fees not disclosed before service was installed
Network,comcast service
Network,poor customer service
Billing,billed for service never received
Other,comcast
Internet,disrupted internet service
Internet,comcast billing speed issues
Network,have to bundle services to get advertised proce
Other,comcast policies
Internet,internet throttling
Billing,unfair billing practices
Billing,cocmast billing issues
Network,comcast service that did nt work
Network,data limit
Billing,pricing is not competive
Billing,comcast billing practices-unfair
Other,comcast
Internet,slow internet
Internet,internet service
Grievance,xfinity false advertisement
Internet,comcast - constantly low speeds miscommunication about billing errors not responding to complaints
Other,comcast hbo-go application and sony products
Other,never resolved problem with comcast
Internet,slow speed with the entire connection
Internet,comcast possibly throttling my internet
Other,comcast sucks
Billing,issues with comcast regarding service billing etc
Internet,internettv billing
Network,difficulty to cancel services before moving
Other,comcast incompetenceliesrobbery
Billing,comcast is forcing bundles on me while silently raising my bill
Internet,internet slowdown
Billing,comcast price
Internet,comcast fails to fulfill request for internet service
Billing,hidden product installation fee
Other,2 months and comcast has not fixed problem
Grievance,fcc complaint against comcastxfinity on providing false information
Internet,comcast internet
Internet,comcast internet
Network,service issues
Billing,comcast xfinity 300g over charge
Internet,internet availability
Network,comcast usage caps
Network,comcast data usage caps
Network,data caps and the extortion methods of comcast
Internet,no internet service
Network,no service
Billing,billing discrepencies and service termination hurdles
Billing,billing data usage
Network,bait and switch unfulfilled incentives
Internet,internet speed
Billing,comcast wont refund me for over charge
Internet,comcast internet debacle
Internet,price and performance manipulation by comcast for isp
Grievance,complaint against comcast
Internet,comcast internet speed
Grievance,comcast complaint
Network,data caps
Network,comcast unwilling to resolve data usage issue
Network,comcast unwilling to resolve data usage issue
Network,comcast data cap
Network,comcast data usage meter
Internet,comcast internet data cap lies
Billing,comcast promised 60 a month no fees charged 70 8 in fees
Internet,comcast cable connection from street is underwater and structure is too high
Network,west coast service issues - comcast
Internet,comcast refuses to uhold contract for 2 years phoneinternet
Internet,comcast business internet is much more expensive that home internet
Internet,comcast internet usage cap
Network,comcast poor service
Network,comcast corporation data caps
Internet,comcast throttling my internet service
Billing,billingservice issues
Billing,unethical charges
Network,comcast data cap
Billing,comcast wrongfully autodrafted a final bill that was not yet adjusted
Internet,comcast internet
Network,comcast data cap at 300gb
Internet,internet speeds are throttled
Billing,complex situation prevents bundling discounts and drives service price up
Internet,comcast internet prices speeds
Billing,comcast overcharging
Other,reimbursement i ve never recieved
Internet,constant internet issues
Other,xfinity
Other,xfinitycomcast
Other,comcast hard inquiries
Other,comcast jamming signal
Other,comcast lied to me
Network,terrible customer service and process
Other,comcast hbo go on ps4
Other,run around
Network,comcast service and customer service issues
Billing,comcast pricing scam
Other,comcast disconnect
Internet,comcast throttling speeds and data caps
Network,closed captioning of online videos
Other,comcast problems
Billing,removed discount after i complained about an unauthorized charge
Grievance,complaint regarding comcast
Internet,comcast internet connection cheat
Internet,wireless signal issuesfrequent connection drop
Internet,comcast is ripping me off and i ca nt be quiet anymore
Internet,billing dispute
Grievance,complaint about comcast
Other,comcast
Internet,internet speeds not as advertised
Other,comcast sony playstation devices
Internet,comcast wifi issues
Internet,comcast internet
Other,comcast
Network,comcast is giving me poor quality customer service
Other,comcast no show tech
Internet,comcast internet
Billing,horrible service charges for techinstallation applied when they shouldnt have
Internet,slow internet billing poor customer service of your complaints
Network,no service
Outages,comcast outages
Internet,comcast internet connection and speed
Internet,comcast cable internet
Network,comcast no service for one month
Other,comcast
Billing,comcast did not remove charge for over a year
Billing,comcast charging for services not rendered
Billing,price inflation due to monopoly of comcast
Internet,double charge my internet service every month
Billing,unfair billing practices
Billing,comcast billingmonopolyservice
Other,tricked into upgrade
Other,comcast unfair business practices
Internet,internet speeds slow
Network,faulty service and false advertisement
Internet,comcast started charging a lease fee for equipment i own after enabling automatic bill payment
Internet,comcastxfinity service manipulation
Internet,unsatisfactory speed with disorganized service
Billing,comcast billing and service
Billing,unfair billing practices
Billing,xfinity price and not 16mbps when paying for 50mbps
Other,xfinity order status
Internet,comcast violating open internet rules
Billing,billingcustomer service
Billing,comcast is double billing me and not processing my credit back to me
Internet,comcast internet speeds
Other,comcast lies and deception
Billing,comcast over billing
Internet,comcast internet cable and phone outtages
Internet,internet connection outage
Internet,comcast throttling internet speed
Billing,comcast xfinity overage charges no assistance
Network,service outages comcast
Billing,comcast billing
Billing,charges not authorized
Other,comcastxfinity
Internet,cocmast internet
Other,comcastxfinity
Internet,xfinitycomcast tethering connection
Other,xfinity comcast closed scheduled appt and said it was open
Network,service issues
Internet,comcast internet outage
Other,comcast
Billing,additional usage 1050gb
Network,comcast data caps
Billing,comcast billing practices
Network,very poor customer service
Internet,internet speed
Other,another fraudulenct collection claim from comcast
Other,comcast and centurylink failing wissler ranch colorado community
Network,tried to cancel was lied to about change in service
Internet,xfinity throttling apple tv bitrate
Billing,comcast termination fee
Other,unresolved issues
Billing,no warning before price increase
Billing,comcast unfair billing
Billing,comcast overbilling and overcharging
Network,comcast service complaint
Billing,charge to my bill unknowingly
Billing,billing
Internet,internet and phone pricing
Internet,worst speed no competition and billing does not match the service
Network,comcast bundled service
Internet,charged for equipment that i did nt have
Billing,comcast misrepresented their service area then charged me for attempting to use it
Other,comcast xfinity
Network,comcast does not deliver service
Internet,slow internet speeds on comcast
Network,comcast service
Internet,nonsensical raise in my internet bill
Billing,comcast service billing
Other,comcast runaround
Other,cruel and illegal practices - comcast
Internet,throttled speed
Network,transfer services
Network,comcast agent lied about service upgrade
Billing,customer service representative lied about rates and promotions
Network,comcast service corvallis or
Billing,unexplained billing
Internet,comcastxfinity internet
Network,lack of availability
Billing,comcast bill problems
Billing,unfair billing practices
Network,comcast data caps
Internet,comcast internet is unbelievably slow
Billing,comcast refuse to refund rental fee made in error
Other,comcast
Internet,issues with cable and internet packaging unfair prices
Internet,comcast internet speed and reliability
Internet,cable internet
Network,monopoly and deceit the 300gb data cap
Network,comcast xfinity home security service
Network,comcast bait and switch
Network,comcast data cap in atlanta ga
Network,cap on data usage
Network,data cap
Network,data usage
Billing,extorted into signing up for multi-year contract
Network,comcast selectively enforcing data caps
Network,comcast usage caps
Internet,comcast internet service bad quality
Other,ping spikes and packet loss
Grievance,comcast complaint
Internet,comcast phone internet billing issue
Internet,comcast xfinity charging rental fee for personally owned modem
Billing,horrific billing
Internet,comcast xfinity overcharging for internet internet cap
Network,comcast money grab using data caps
Internet,comcast internet service provider
Billing,fraudulent charges by comcast
Network,comcast data cap compliant
Billing,billings charges credits
Billing,comcast data cap limits lack of competition and anti-competition business and billing practices
Billing,deceptive billing practices
Billing,billing complaint
Billing,comcast unfair billing practices
Internet,comcast property access or right of entry
Internet,internet speed
Billing,robber barron billing practices
Other,fradualent claims
Other,xfinity comcast hbogo on ps4
Other,comcast failure to respond to user communication
Network,xfinitty tv and exfinity alarm
Internet,internet speed and price of bundle
Internet,re comcast internet illegal charges
Internet,possible internet speed throttling by my comcast internet provider
Internet,slow speed
Billing,inaccurate billing
Internet,comcast internet pricing
Billing,billingcontract issue related to data cap
Billing,comcast data billing
Network,data caps
Other,comcast
Other,comcast
Other,comcast
Internet,prolonged internet outage tardy response
Internet,comcast internet
Billing,improper billing from comcast
Other,deceptive sales tactics
Other,misrepresentation of terms
Billing,consumer fraud - sell at one price then advise price is higher
Other,misleading communication
Other,comcast chat agent help
Billing,fees
Internet,comcast cable company florida
Other,misleading advertising
Other,comcast
Billing,unfair billing practices regarding comcast
Billing,unfair comcast bill
Network,comcast services
Internet,comcast internet speeds extremely slow
Internet,comcast internet service - billing problem
Internet,comcast speed and billing
Billing,comcast refusal to cancel service under false contract claims
Internet,terrible service and ripped off by comcast
Internet,extremely slow internet speeds horrible support
Other,promissed a package and then denied
Other,hbo go on playstation 3
Billing,comcast secretly raising my bill for services i never agreed to again
Billing,lied about 70 technician fee
Internet,internet too slow
Internet,internet speed drops signal on borderline
Billing,comcast service for exterior line replacement billed to customer
Grievance,comcast complaint
Billing,i am being unfairly billed
Internet,internet prices in usa
Internet,comcast throttling my speeds for streaming video
Internet,consistently slow internet speeds
Internet,internet speeds nowhere close to what i pay for
Billing,billed without service
Internet,slow internet
Internet,billed for modem rental for several years comcast refuses to refund under caveat emptor
Other,misleading information given
Billing,contract cancellation fees and unauthorized changes
Internet,no internet service no on demand service
Internet,internet and on demand service
Billing,unfair charges and substandard service
Billing,comcast automatic payments
Outages,outage and unfair practices
Other,fraudolent pratice
Network,comcast service
Billing,comcast billing practices
Other,comcast
Other,comcast mistreatment
Internet,slow connection speed for wifi
Internet,comcast speeds low and often disconnections
Network,comcast service
Billing,denial of refund for overpayment
Network,comcast data cap
Billing,comcast unfair billing
Other,comcast
Network,slow service
Internet,comcast internet
Other,comcast
Internet,internet issue
Network,business class service
Other,dns web hosting
Other,fraudulent account
Internet,comcast internet service complaint
Billing,billing issues
Internet,comcast poor service or throttling
Billing,comcast refuses to fix billing if a virus causes data usage over cap on a system protected by their av
Internet,no broadband service provided
Network,poor service from comcast
Network,300 gb cap
Network,comcast data caps
Internet,slow speeds poor service
Billing,billing and service
Other,comcast of indiana
Internet,comcast trial of putting cap 300 gb month on internet usage
Network,comcast data caps
Network,comcast data cap code injection
Billing,comcast billingservice
Billing,comcast-flat fee contract-misrepresentation
Internet,comcast internet problems
Internet,comcast internet billing
Internet,comcast xfinity triple play
Billing,billing issues with comcast
Internet,comcast internet
Outages,comcast outage - bay area
Grievance,comcast of east windsor nj complaint
Network,terrible comcast service
Network,complaint against comcast for incredibly bad service
Network,data caps
Internet,internet service speed
Billing,comcast xfinity price gouging seniors
Billing,misrepresentation of billing
Other,constant non response or passing to other operator supervisers inability to resolve of help numerous lies told
Other,comcast chronic lies
Internet,comcast internet only service
Billing,comcast broke 36 month contract by increasing bill
Billing,unfair billing practices
Billing,installation charges
Billing,comcast over charging bundle pkg
Network,comcastxfinity data allowance
Billing,pricing
Other,60 days to close my account
Billing,fraudulent billing by comcast
Network,comcast failed to switch our systems to new location and shut down the current location
Other,comcast slamming issue
Internet,please stop broadband bandwidth caps
Internet,comcast internet in emeryville throttles speed
Billing,pricing concerns
Internet,95 palmer road enfield nh internet pricing
Billing,overpriced low quality service
Network,bundled service
Billing,comcast customer service and billing complaint
Internet,comcast throttling
Network,lack of service service call complaint
Network,lack of service service call complaint
Internet,comcast fradulent marketing and billing for internet
Network,unreliable service for the past three years
Internet,comcast has doubled my internet fee without warning
Other,frequent disconnects
Billing,billing issue
Billing,comcast unfair billing practices
Billing,comcast deceptive selling billing lack of service - second and expanded complaint
Internet,comcast complaint about internet speed
Billing,comcast billing issues
Other,comcast chicago il
Internet,no internet for last 6 days and comcast is not doing anything
Billing,comcast price gouging
Internet,unable to renew ip address
Other,comcast
Other,comcast
Other,comcast issues
Network,comcast will not service our home
Other,comcastxfinity
Billing,comcast billing and service issues
Network,poor service
Network,data cap
Other,comcast
Internet,internet billing
Billing,comcast fluctuating prices
Network,recurring comcast service issues and long waits for non-service
Internet,multiple billing an dcompetative issues
Billing,comcast fraudualent billing
Network,comcast service
Internet,re internet too expensive
Billing,charged for services not provided
Internet,paying for wifi and its not working
Internet,isp data cap
Internet,internet connection and speed issues
Internet,comcast internet
Internet,comcast will not provide online content without cable box
Internet,internet cap
Other,lack of reasonable infrastructure close to town
Internet,comcast throttling speeds
Other,comcast
Internet,comcast throttling my internet
Internet,un able to access my email address after relocae to a new address
Internet,internet speed issues with comcast and picture freezing issues when watching tv
Other,systemic failures with comcast
Other,comcastxfinity
Internet,comcast internet and lack of communication and response
Billing,billing issues
Billing,comcast knowingly over billed
Network,horribleunacceptable service of comcast
Billing,comcast overcharge
Other,deceptive trade
Billing,comcast demanding payment after cancellation
Internet,no internet
Billing,xfinity promise to pay me 300 to join
Other,comcast issues
Internet,internet provider data thresholds
Internet,comcast cable
Network,comcast data cap
Network,comcast data caps
Other,comcast
Network,comcast data cap
Internet,routine outages speeds never as promised
Other,comcast business keeps moving my same-day trouble appointment to the next day
Internet,comcast cable company
Billing,comcast billing
Internet,lack of hbo go availability on sony devices with xfinity subscription
Billing,overcharged 30 per month for 10 months straight
Billing,raising my rate
Billing,unfair comcast billing
Billing,comcast fradulently gets contract signed by my wife
Billing,comcast charging me unrelated charges
Billing,ridiculous charges
Grievance,complaint against comcast
Billing,arbitrary price increase
Billing,comcast billing complaint
Internet,internet speed deteriation
Internet,internet speed on wireless connection
Internet,internet
Internet,intermittent internet
Other,deceptive trade
Billing,improper billing and non resolution of issues
Billing,lost emailsbilling
Billing,comcastxfinity poor service fraudulent billing and collection
Network,monthly data caps
Billing,comcast data charges
Internet,inability to get access to internet through comcast or at t
Billing,paying for an upgrade that never took place
Internet,bill issues internet and disability comcast prices
Internet,not receiving advertised speed
Internet,xfinity internet speed
Billing,comcast billing
